Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
989	NCT04828122	Amyloid Prediction in Early Stage Alzheimer's Disease From Acoustic and Linguistic Patterns of Speech	AMYPRED	Completed	No Results Available	Alzheimer Disease|Preclinical Alzheimer's Disease|Prodromal Alzheimer's Disease|Alzheimer's Disease (Incl Subtypes)|Mild Cognitive Impairment		The area under the curve (AUC) of the receiver operating characteristic (ROC) curve of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms using speech recordings as input.|The sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between amyloid positive (Arms 1 and 3) and amyloid negative (Arms 2 and 4) Arms.|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between amyloid positive cognitively normal (CN) (Arm 3) and amyloid negative cognitively normal (CN) (Arm 4) Arms.|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between amyloid positive MCI (Arm 1) and amyloid negative MCI (Arm 2) Arms.|The AUC, sensitivity, specificity and Cohen's kappa of the binary classifier distinguishing between the MCI (Arms 1 and 2) and the CN (Arms 3 and 4) Arms.|The agreement between the PACC5 composite and the corresponding regression model predicting it in all four Arms, as measured by the coefficient of individual agreement (CIA).|For each classifier/regressor in outcome 1-6, the correlation between the AUC/CIA and each age group, gender and speech-to-reverberation modulation energy ratio group, as measured by the Kendall rank correlation coefficient.	Novoic Limited	All	50 Years to 85 Years   (Adult, Older Adult)		141	Industry	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	NOV-0100	November 19, 2020	August 6, 2021	August 6, 2021	April 1, 2021		September 5, 2021	Re:Cognition Health, Birmingham, United Kingdom|Re:Cognition Health, Guildford, United Kingdom|Re:Cognition Health, London, United Kingdom|Re:Cognition Health, Plymouth, United Kingdom		https://ClinicalTrials.gov/show/NCT04828122
990	NCT05544201	Transcranial Alternating Current Stimulation for Sleep Disturbances in Neurocognitive Disorders Due to Alzheimer's Disease		Enrolling by invitation	No Results Available	Brain Stimulation|Alzheimer Disease|tACS|Sleep Disturbance|Aging|Cognitive Impairment, Mild	Device: High-definition transcranial current stimulation	Subjective sleep quality|Memory function|Attention function|Executive function|Saliva Aβ40 and Aβ42 levels	Chinese University of Hong Kong	All	60 Years to 90 Years   (Adult, Older Adult)	Not Applicable	99	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	RGC14111021	October 1, 2022	December 31, 2023	March 31, 2024	September 16, 2022		September 16, 2022	The Chinese University of Hong Kong, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT05544201
991	NCT01891383	Clinical Characteristics of Dementias That Occur Remotely After Traumatic Brain Injury in Retired Military Personnel		Withdrawn	No Results Available	Dementia|Traumatic Brain Injury (TBI)|Mild Cognitive Impairment (MCI)|Chronic Traumatic Encephalopathy (CTE)|Post-traumatic Stress Disorder (PTSD)		Prevalence of dementia or MCI in the two groups (TBI versus no TBI)|Characterization of the types of dementia or MCI that occur in the two groups (TBI or no TBI)	Uniformed Services University of the Health Sciences|University of California, San Francisco	All	50 Years to 95 Years   (Adult, Older Adult)		0	U.S. Fed|Other	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	ERMS# 12lO9006|NEU-92-1855	July 2013	June 2016	August 2016	July 3, 2013		January 18, 2019	California Veterans Home-Yountville, Yountville, California, United States|Armed Forces Retirement Home, Washington, District of Columbia, United States		https://ClinicalTrials.gov/show/NCT01891383
992	NCT03050385	Cognitive Rehabilitation During Transcranial Direct Current Stimulation		Completed	No Results Available	Transcranial Direct Current Stimulation|Neurocognitive Disorders	Device: transcranial direct current stimulation	Attrition rate due to adverse events|difference of Alzheimer Disease Assessment Scale -Cognitive subscale|difference of the mini mental state examination|difference of Clinical Dementia Rating scale - sum of boxes|difference of Mini Mental State Examination|Attrition rate for any reason|difference of Frontal Assessment Battery	National Center of Neurology and Psychiatry, Japan	All	55 Years to 90 Years   (Adult, Older Adult)	Not Applicable	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	A2016-048	October 2016	July 28, 2017	August 18, 2017	February 10, 2017		February 26, 2020	National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan		https://ClinicalTrials.gov/show/NCT03050385
993	NCT02265757	Behavioral Interventions to Prevent or Delay Dementia		Completed	No Results Available	Mild Cognitive Impairment|Memory Disorders|Mild Dementia|Impaired Cognition|Mild Cognitive Disorder|Amnestic Disorder|Dementia and Amnestic Conditions|Poor Short-term Memory|Memory Impairment	Behavioral: Cognitive Rehabilitation|Behavioral: Computer Brain Fitness Training|Behavioral: Support Group (patient and partner)|Behavioral: Wellness Education|Behavioral: Physical Exercise	Improvement in patient quality of life|improvement in patient memory based everyday functioning|improvement in caregiver mood and sense of burden	Mayo Clinic|Patient-Centered Outcomes Research Institute	All	50 Years and older   (Adult, Older Adult)	Not Applicable	272	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	14-000885	June 2014	March 31, 2018	March 31, 2018	October 16, 2014		February 22, 2019	Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/57/NCT02265757/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02265757
994	NCT04606420	Can Lifestyle Changes Reverse Early-Stage Alzheimer's Disease		Active, not recruiting	No Results Available	Alzheimer Disease	Behavioral: Lifestyle medicine	Change from Baseline in Alzheimer Disease Assessment Scale cognitive section (ADAS-Cog) score|Change from Baseline in Clinical Global Impression of Change (CGIC) score|Change from Baseline in Clinical Dementia Rating Scale Sum of Boxes (CDR-SOB) score|Changes from baseline in the microbiome|Changes from baseline in telomere length|Changes from baseline in biomarkers|Inflammatory biomarkers|Amyloid peptides|R-PLEX measures|Angiogenesis biomarkers|Vascular injury panel 2|Metabolic Panel: 1 Human 7-PLEX	Preventive Medicine Research Institute|University of California, San Francisco|Harvard Medical School (HMS and HSDM)|University of California, San Diego|The Cleveland Clinic|Renown Health	All	45 Years to 90 Years   (Adult, Older Adult)	Not Applicable	51	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	20172897	September 8, 2018	September 30, 2023	September 30, 2023	October 28, 2020		September 15, 2022	University of California, San Diego, San Diego, California, United States|Preventive Medicine Research Institute, Sausalito, California, United States|McCance Center for Brain Health, Harvard Medical School/Mass General Hospital, Boston, Massachusetts, United States|Renown Health Institute of Neurosciences, Reno, Nevada, United States		https://ClinicalTrials.gov/show/NCT04606420
995	NCT01481246	Neurocognitive Study for the Aging-a Longitudinal Study With a Greek Cypriot Cohort	NEUROAGE	Recruiting	No Results Available	Aging|Memory Impairment|Cognitive Decline|Mild Cognitive Disorder	Behavioral: Categorization training|Behavioral: Psychosocial and Psychoeducational Group training	Neuropsychological Tests	University of Cyprus	All	60 Years to 90 Years   (Adult, Older Adult)		1000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Humanities/Society/0308(ΒΕ)/07|SKEPSH|EXCELLENCE/1216/0404	July 2009	March 2023	March 2023	November 29, 2011		April 29, 2022	University of Cyprus, Nicosia, Cyprus		https://ClinicalTrials.gov/show/NCT01481246
996	NCT04134806	Gait Analysis by Induced Disorientation in a VR Environment		Unknown status	No Results Available	Mild Cognitive Impairment|Mild Dementia|Disorientation|Young Adults|Older Adults		Spatial disorientation|Gait variability|Spatial orientation ability|Heart rate variability|Skin conductance|Accelerometery|Apolipoprotein E4 status|Visuospatial function|Memory function|Executive function	University Medical Center Rostock|University of Rostock|German Center for Neurodegenerative Diseases (DZNE)	All	18 Years to 85 Years   (Adult, Older Adult)		80	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	A 2019-0062	March 1, 2019	December 31, 2021	December 31, 2021	October 22, 2019		May 8, 2020	Clinic and Polyclinic for Psychosomatics and Psychotherapeutic Medicine, University Medical Center Rostock, Rostock, Mecklenburg-Western Pomerania, Germany		https://ClinicalTrials.gov/show/NCT04134806
997	NCT01534273	A Study of LY2886721 in Healthy Participants		Completed	Has Results	Healthy Volunteers	Drug: LY2886721|Drug: Placebo	Number of Participants With Clinically Significant Effects|Pharmacokinetics: Plasma Maximum Observed Concentration (Cmax) of LY2886721|Pharmacokinetics: Plasma Area Under the Concentration Versus Time Curve From Time 0 Extrapolated to Infinity (AUCinf) of LY2886721|Pharmacokinetics: Plasma Maximum Observed Concentration at Steady State (Cmax,ss) of LY2886721|Pharmacokinetics: Plasma Area Under the Concentration Versus Time Curve (AUC) of LY2886721|Percent Change From Baseline in Cerebrospinal Fluid (CSF) Amyloid 1-40 Concentration at Day 15|Percent Change From Baseline in Cerebrospinal Fluid (CSF) Amyloid 1-40 Concentration at 24 Hours Post-dose	Eli Lilly and Company	All	20 Years and older   (Adult, Older Adult)	Phase 1	30	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	14464|I4O-MC-BACJ	February 2012	July 2012	July 2012	February 16, 2012	August 28, 2019	August 28, 2019	For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Glendale, California, United States		https://ClinicalTrials.gov/show/NCT01534273
998	NCT03551483	ArtontheBrain: An Inclusive Evidence-based Cognitive Health App for Older Adults to Promote Aging at Home		Unknown status	No Results Available	Cognitive Impairment|Mild Cognitive Impairment|Dementia|Age-related Cognitive Decline|Aging	Device: ArtontheBrain|Device: Seniors Online Victoria	EQ-5D-5L|Short Warwick-Edinburg Mental Well-Being Scale (WEMWBS)|Short-Form Health Survey (SF-36)|Stanford Health Care Utilization|Physical Activity Scale in the Elderly|Social Engagement Survey|Alternative Uses Task|Digit Span Test|Means-End Problem Solving|Art Engagement Survey|Life Space Questionnaire (LSQ)|Autobiographical Interview	Baycrest|University of Calgary|Sheridan College	All	60 Years and older   (Adult, Older Adult)	Not Applicable	110	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	#17-49	July 24, 2018	March 31, 2019	March 31, 2019	June 11, 2018		February 27, 2019	Baycrest Health Sciences, Toronto, Ontario, Canada		https://ClinicalTrials.gov/show/NCT03551483
